Title,Description,Category,Award,Due Date
Randall Blair Isenberg Alcohol Addiction Awareness,The Randall Blair Isenberg Alcohol Addiction Awareness Scholarship rewards one student who demonstrates a passion for raising awareness of alcohol addiction with a $500 scholarship for college.,Health Professions,$500,3/15/2019
Nicholas A. Pennipede Memorial Scholarship,The Nicholas A. Pennipede Memorial scholarship was established to help students who want to achieve a higher education who demonstrate a commitment to helping their own communities in turn.,- None -,"$1,000",3/15/2019
The Smart Service Scholarship,"At My Service Depot, we’re proud to provide our Smart Service software to help field service companies run their businesses. We see how they have succeeded as companies and as employers of hard-working employees in skilled trades, like HVAC, plumbing, electrical work, fire protection, landscape design, and construction. We believe that for many looking for an alternative to traditional four-year college programs, a career in these industries offers a path to success, as skilled workers and even business owners. The Smart Service Scholarship Fund awards $1,000 twice a year (Spring and Fall semesters) to students entering into, or continuing their education in, skilled trades education and training programs.","Architecture, Design & Planning","$1,000",3/17/2019
2019/2020 Crystal Group Innovation Scholarship App,"The Crystal Group Innovation Scholarship is awarded each year to (2) full-time students pursuing an undergraduate degree within the School of Business, the School of Engineering, or related majors. Undergraduate business programs include majors and/or minors in Finance, Business Administration, Marketing, Human Resources, Sales, or any other major within the business program. Mass Communications and Public Relations majors within the School of Liberal Arts are also welcome to apply. Undergraduate engineering programs are those offering a bachelor’s degree in engineering. All scholarship winners receive a non-renewable scholarship of $1,000 payable directly to the institution in which they are enrolled.",Engineering,"$1,000",3/25/2019
Internet Marketing Scholarship,"Technpick is a site which publishes different researched-based information especially products unbiased reviews and buyer’s guides. We normally provide advise to the people around the globe to make their choices more reliable and authentic. Our priority for picking up products varies from tech, gadgets, outdoors, and other home use related products. .",Other,"$1,500",3/26/2019
Stanford Advanced Materials $1000 College Scholars,"Stanford Advanced Materials Scholarship will award a $1000 scholarship to one highly motivated student who can thoughtfully respond to the prompt below. Please follow the following prompt: With the development of modern science and technology, advanced materials have had their applications in almost every aspect of life. For instance, Zirconia ceramics have made itself a top choice for kitchen knives because of its high strength and resistance to high-temperature, oxidation, and corrosion… Where have you seen advanced materials used in your life? Please share your understanding and experience with the application of the following materials and what impact they might have in the future. Refractory metal Advanced Ceramic Materials Rare Earth Materials Deposition Materials",Engineering,"$1,000",3/28/2019
Lula Entrepreneurship Scholarship,"Lula is a startup company in Overland Park, Kansas. As a way to show our love for the startup community, we want to offer a scholarship for aspiring entrepreneurs. This $500 scholarship is available to any person in any major, as long as they have a desire for entrepreneurship in some capacity. Qualified Applicants: - High school senior or older - Must have at least a 3.0 GPA - Must be enrolled in an accredited university for the Fall of 2019",Business,$500,3/29/2019
ASDSO Senior Undergraduate Scholarship,"The ASDSO Scholarship Program, established in 1992, awards annual undergraduate scholarships to U.S. citizens enrolled in accredited programs in engineering or related fields and planning careers related to the design, construction, or operation of dams. Scholarships have ranged from $5,000 to $10,000 in recent years. Successful recipients must be U.S. citizens and enrolled full-time at the senior level during the 2019-20 academic term in an accredited civil engineering program, or in a related field as determined by ASDSO, and must demonstrate an interest in pursuing a career in hydraulics, hydrology or geotechnical disciplines, or in another discipline related to the design, construction and operation of dams.",Engineering,"$10,000",3/29/2019
Export hub’s Business Scholarship,"Respected Sir, We are hereby intimating a new scholarship opportunity, for the students of the The University of Kansas. This scholarship titled “Export hub’s Business Scholarship” covers the major fields of study Economics, Business Law, Company Law, Principals of Management, Supply Chain Management, Financial Accounting and Reporting, Business Management and Behavioral Studies, Audit and Taxation, Banking and Finance, Traditional and Digital Marketing, eCommerce Business Management. Here is the link of detailed description: https://export-hub.blogspot.com/p/scholarship.html While we have enlisted the major requirements as below: - An online application - A video (3-4 minutes) or short essay (400-600 words) that answers the following question: What would be your plan for marketing a brand new business online? We request your kind acceptance to enlist our scholarship on your relevant web page. http://privateschol.dept.ku.edu/Final_Table.php We are always open to any of your relevant queries. Thanks in anticipation and looking forward to your positive response. With Warm Regards Beatrice McGraw https://twitter.com/McgrawBeatrice",Engineering,"$1,500",3/29/2019
BirthrightBlog.com Scholarship for Jewish Students,"BirthrightBlog.com is an up-and-coming blog dedicated to helping educate Jewish youth about the Birthright Israel trip. We are unaffiliated with the Birthright Israel organization, but are releasing insightful ""Trip Reviews"" by past participants. We aim to provide honest information to help Jewish youth engage with Birthright Israel in the most meaningful way possible. We have new scholarship opportunity for Jewish students that you can read about here: http://birthrightblog.com/scholarship/ This scholarship is open to any Jewish student who plans to attend, or has attended, the Birthright Israel trip. The prize is $1,000. The deadline is March 31, 2018.",Other,"$1,000",3/31/2019
KNR Don't Text and Drive Scholarship,"At KNR, we are committed to combatting this issue, and that fight starts with greater awareness amongst the younger generations, and we believe that greater awareness of this issue can make a difference. We are proud to announce the KNR Don’t Text & Drive Scholarship which awards $5,000 to a student pursuing higher-education.",- None -,"$5,000",3/31/2019
Dr. Edward Jacobson Healthy Living Scholarship,The Dr. Edward Jacobson Healthy Living Scholarship will reward a higher education student who demonstrates an extraordinary level of commitment to health and wellness on both a personal and a community-wide basis. Candidates should provide a clear articulation of the ways in which they embody the principles of healthy living and will explain their ideas for expanding wellness initiatives in the surrounding community.,- None -,$500,3/31/2019
MU30’s Scholarship for Women in Finance,"We’re offering two one-time scholarships, totaling $3,000, to build our community of financially healthy young women. The winner will receive a $2,000 scholarship, and the runner-up will receive a $1,000 scholarship, payable directly to the accredited educational institution of choice.",Other,"$2,000",3/31/2019
Wheelhouse Spring 2019 Scholarship,"The Wheelhouse Scholarship opportunity will reward the winning essay of each topic $1,000. To apply for this scholarship, please submit a 700 to 1,000 word essay on one of the following topics: Topic One: What software system will have the biggest impact in 2019? Topic Two: What are the biggest business trends on the horizon over the next 2 years? The application due date is 31st March 2019, and the winners of the scholarship will be announced on 15th April 2019. Please visit https://www.wheelhouse.com/scholarship for details on how to apply.",- None -,"$1,000",3/31/2019
Neal Davis Law Scholarship Essay Contest,"Neal Davis Law Firm will award the winner of our essay contest a $1,000 collegiate scholarship.",Law,"$1,000",3/31/2019
"Estey & Bomberger, LLP 2019 Scholarship","Estey & Bomberger, LLP is thrilled to let you know that they are offering a new 2019 Undergraduate Scholarship. We would love to give the students at your school a shot at winning $2,000 to help pay for tuition!",- None -,"$2,000",3/31/2019
NAWIC Chapter #100 Scholarship,Scholarship is for students who are pursuing a degree in a construction related field.,Engineering,$0,3/31/2019
Ink4Less Scholarship Program,"Ink4Less is excited to announce our Women in STEM academic scholarship. Women who are pursuing an undergraduate or master's degree and majoring in science, technology, engineering, or mathematics (STEM) during the 2019 and 2020 school year.",- None -,$500,3/31/2019
Albacross Digital Marketing Scholarship,Albacross - a lead generation software company is offering a €1000 grand for a standing out student in Business and/or Marketing.,Business,"$1,000",3/31/2019
The Strong Comeback Scholarship 2018,"Hasbrook & Hasbrook is introducing The Strong Comeback Scholarship. We hope to recognize individuals for their extraordinary willpower and ability to come back from a devastating injury. In a 750 word essay, detail a time where you suffered a serious injury. Explain the comeback process and the strides you made along the way and how this experience affected your outlook on life?",Other,"$1,000",3/31/2019
Beauty & Wellness Scholarship for Women,"We're awarding $4,000/year in college scholarships to support the health of college women. Our scholarship is called The Beauty + Wellness Scholarship for Women and each quarter we award $1,000 + a care package filled with healthy organic goodies to women who are striving to maintain their health and wellness as they pursue their higher education goals. Here is a brief summary of the eligibility requirements: • Award: $1,000 • Quarterly Deadlines: January 1, March 31st, June 30th, and September 30th every year • Eligibility: + Must be a graduating high school senior, current college undergraduate, or current graduate student at a 4-year, 2-year, vocational, or technical school in the United States. + Must identify as female. + We welcome all majors and GPAs to apply!",- None -,"$1,000",3/31/2019
Toptal Scholarships for Women,"Toptal Scholarships for Women Toptal will award five scholarships to aspiring female leaders in five global regions: Africa, the Americas, Asia, Europe, and Oceania. Each winner will receive (US)$10,000 and a year of weekly one-on-one mentoring by a Toptal expert. For more information and to apply, go to: https://www.toptal.com/scholarships-for-women Application deadlines depend on which region the applicant lives in. Application timelines are available on the scholarship website.",Other,"$10,000",3/31/2019
Albacross Digital Marketing Scholarship,"Albacross - an innovative lead generation software, opens a scholarship contest that will grant €1000 to a standing out student in Business or Marketing as a help for his/her education. To apply, students will need to prepare an essay and submit it via the application form, linked from the scholarship page.",Business,"$1,000",3/31/2019
See the World Scholarship,"The Exact Data See the World Scholarship is a yearly, recurring, non-need-based award of $1,000 given to 1 student each year who wishes to travel outside the US — locations including Europe, Africa, Asia, or South America. The award will be sent via check. Preference will be given to students who will be active in work study or volunteer programs. Backpackers will be considered as well.",- None -,"$1,000",4/1/2019
Study.com Praxis Scholarship,"The Praxis examinations ensure that teachers in states across the U.S. have the necessary subject and teaching knowledge required to be an effective educator. In most cases, teachers in states that have adopted the Praxis examinations are required to pass one or more Praxis tests. Passing Praxis exams requires significant time, money, and effort. To help teachers through this process, Study.com has created three scholarships. You can learn more about the details of eligibility, prizes & any additional information needed to apply at the link provided.",- None -,$500,4/1/2019
Study.com TEAS Scholarship,"The TEAS helps determine whether aspiring nurses or allied healthcare professionals have the knowledge required for success in nursing school. The exam covers four subject areas: reading, math, science, and English language usage. Passing the TEAS requires significant time, money, and effort. To help aspiring TEAS test-takers through this process, Study.com has created three scholarships. We have included more information on eligibility requirements, awards and important information at the link provided.",- None -,$500,4/1/2019
Study.com TExES Scholarship,"Passing the Texas Examinations for Educator Standards (TExES) tests can be an uphill challenge. Serving as entry-level certification standards in Texas, these exams seek to ensure candidates have the knowledge and qualifications to teach subjects ranging from early childhood to the end of high school. A lot of time and money needs to be invested into studying for the TExES tests. To help candidates succeed, Study.com has created three scholarship opportunities. Additional information on eligibility and awards is included at the link provided.",- None -,$500,4/1/2019
Zumper Apartments Scholarship,"We get it, college is expensive. Here at Zumper, we want to help you out with a $1,000 scholarship to put toward tuition, books, or whatever else you need to get you through school. We're looking for outstanding students who have helped their classmates or community in a tremendous way. Maybe you started a club that raised $10,000 for charity, or championed recycling and sustainable practices across campus. Whatever it is, we’d love to hear about it!",Other,"$1,000",4/1/2019
"Schochor, Federico and Staton, P.A., Scholarship","The scholarship will be awarded to one student currently attending an accredited college or university in the U.S. The winner will be selected based on an essay they have written on the topic of “Why you are the best candidate for the scholarship?” The criteria for submitting an essay is as follows: • The essay must be submitted no later than April 1, 2019. • The essay must be submitted here: https://www.sfspa.com/scholarship-for-college-students/ • The essay should be no more than 500 words and follow The Chicago Manual of Style. • A statement of financial need along with proof of your enrollment in an accredited college or university must be submitted. • A letter of recommendation from an advisor, professor, or teacher must be provided. • The winner will be notified in June 2019.",Law,"$5,000",4/1/2019
Kristina Flores Overcoming All Odds Scholarship,"The Kristina Flores Overcoming All Odds Scholarship was created both to honor the life and achievements of Kristina Flores, who passed on tragically at the age of 23, and to honor and encourage the education of young people who are also are faced with overwhelming obstacles that might have prevented them from completing high school but did not. The scholarship will go to the person who best represents themselves through their application with an emphasis on their essay. The continuing education requirements are intentionally loose for this scholarship. While we would like to encourage all young people to get a traditional college education, we realize that many of the young people who will apply may be leaving unfortunate circumstances and don’t have much family support. Regardless if you’re going to a vocational/trade school, or a traditional University we encourage all to enter.",- None -,"$1,000",4/1/2019
MusicAuthority’s Annual Music Lovers Scholarship,"We are proud to offer our $1,000 scholarship to one current or prospective student for the 2019 school year. We will be offering this scholarship on a continual basis and we are excited to promote a passion for music and higher education.",- None -,"$1,000",4/1/2019
The Desk and Derrick Educational Trust,"Created to assist persons planning a career in the petroleum, energy or allied industry, or research and development of alternative fuels such as coal, electric, solar, wind hydroelectric, nuclear and ethanol",Engineering,"$4,000",4/1/2019
Women in Computing Scholarship,"Open to female students currently enrolled as full-time undergraduate students at an accredited college or university in the U.S. or Canada. Applicants should have a declared major in computer science, computer engineering, or related STEM field.",- None -,"$1,000",4/1/2019
Business Energy Scholarship,"Should we be using more renewable energy on the planet? Highlight the benefits of renewable energies—and how they can improve our economy, health and environment",Other,"$1,000",4/1/2019
Gunsafereview’s $2000 Scholarship,"Are you looking to bag some money to cover your expenses? We are here to help you with an opportunity for a merit based scholarship twice a year for students who need some financial backing up. Every year, gunsafereview offers a scholarship of $2000 to some talented and off the edge writers.",Engineering,"$2,000",4/8/2019
A Place for Mom Senior Care Scholarship,"A Place for Mom Annual Senior Care Scholarship: Five $1000 scholarships available to students enrolled in an associate’s, bachelor’s, or graduate level program at an accredited school in the fields of gerontology, medicine, nursing, social work, sociology, psychology, physical or occupational therapy, speech pathology or long-term care administration.",Health Professions,"$1,000",4/15/2019
HomeLight Scholarship,"We want to support like-minded students who share our passion for improving the world of real estate. That’s why we’re offering a $1,000 scholarship to talented students who hold an interest in homes and homeownership. If you’re interested in designing homes, building homes, placing people in homes, combatting homelessness, or studying the housing market, we want to help fund your education. Eligible areas of study: interior design, architecture, construction, urban planning, real estate, business, social work, criminal justice, psychology, economics, and sociology.",- None -,"$1,000",4/15/2019
Masergy's 2019 STEM Scholarship,"Masergy is proud to support the next generation of science, technology, engineering, and math (STEM) innovators with our $5,000 Masergy STEM Scholarship for the Spring 2019 semester. There is no denying the importance of STEM studies in today’s world. That’s why for the past few years Masergy has put cash in the hands of future industry leaders as they worked toward their STEM-related undergrad or graduate degrees.",Engineering,"$5,000",4/15/2019
AIA Northeast IIllinois Student Scholarship,"AIA Northeast Illinois is offering two (2) student scholarships in the amount of $3,000.00 each. The scholarships are available to those enrolled for the 2019 fall semester in an accredited architecture program within the National Architectural Accrediting Board’s (NAAB’s) East Central or West Central Regions. In addition to students currently enrolled in an accredited architecture program, community college transfer students as well as high school seniors are encouraged to apply. Applicants must be enrolled in an accredited architecture program for the 2019-2020 academic year at one of the National Architectural Accrediting Board’s (NAAB’s) East Central or West Central Region schools. Applicants shall be permanent (home) residents of the Chapter’s service area. The boundaries of this area are: DuPage, Kane ,Kendall and Cook Counties, except that the territory shall not include the area within the city limits of Chicago, nor south of Interstate 55, nor east of the Edens Expressway. Applications for this year’s scholarships are available by clicking on the links below. Application deadline is 5pm (CT), April 19, 2019.","Architecture, Design & Planning","$3,000",4/19/2019
Independence USD 446 Educational Fdn Scholarship,"The Independence USD 446 Educational Foundation and the Trust Department of Community National Bank & Trust are offering two $500 scholarships to persons entering their junior or senior of college. Applicants must be a graduate of Independence, KS high school; entering their junior or senior year (completed a minimum 60 semester hours) of college; and enrolled in a Kansas Board of Regents institution or an approved private college or university in the state of Kansas.",- None -,$500,4/25/2019
Mercy Auxiliary Scholarship,"The Mercy Auxiliary is offering scholarships in the health care field thru the USD#466 Educational Foundation Fund to Independence, KS High School graduates who will be a junior or senior at a Kansas Board of Regents institution, or approved college or university within the state of Kansas.",Health Professions,$500,4/30/2019
GreenPal Small Business Scholarship,"The purpose of The GreenPal Small Business Scholarship is to assist a motivated, driven student and future business leader. We believe that the generation of today's students are the future employers of tomorrow. The future of our county will be forged by the entrepreneurial spirit of today's generation.",Business,"$2,000",4/30/2019
Bond's Annual Scholarship,Bond’s Escape Room is honored to announce we are offering a scholarship of $500 to aid a college or university student striving to achieve their academic goals. Bond’s Escape Room brings joy in creating life-thrilling experiences for family and friends. We are looking for students who demonstrate set a strong academic and leadership example.,Business,$500,4/30/2019
Medicalfieldcareers.com Healthcare Scholarship,The Medicalfieldcareers.com Healthcare Scholarship is an annual scholarship for any student who is enrolled in to a healthcare program. Our goal is to assist the next generation of healthcare professionals.,Health Professions,"$1,500",4/30/2019
"3rd Annual ""Go For The Gold"" Award!","Industrial Access, Inc. will award a $3,000 scholarship to one student that is or will be enrolled in an engineering school or field of study. As an advocate of higher education, Industrial Access, Inc. is looking forward to helping a dedicated engineering student with their academic finances in the upcoming 2018/19 school year. We will be awarding a $3,000 scholarship to a deserving student who displays a passion for the engineering field, has a good academic record in High School and who has significant volunteer activity. Students who qualify will be studying engineering with a track in environmental, structural, civil, mechanical, electrical, geotechnical, chemical, project management, architectural or management.",Engineering,"$3,000",4/30/2019
Drivers Ed Hub Scholarship,"ELIGIBILITY The DriversEdHub.com Scholarship is open to legal residents of Canada and the 50 United States and the District of Columbia, who, at the time of entry are: Undergraduate college or university students (or the equivalent thereof) who are currently attending a Canadian or U.S. accredited college or university in any program and year of study. Entrants into the scholarship must meet the required criteria. Potential winners must be able to present proof of eligibility and failure to provide proof may result in disqualification. Immediate family members (children, siblings) of employees of DriversEdHub.com or their respective subsidiaries, affiliates, and advertising and promotional agencies and anyone involved in the development, production, distribution of materials for, judging or coordination of this Scholarship, and persons living in the same household of such employees whether or not related, are not eligible to enter or win. Judging Criteria All eligible entries will be judged on the following equally weighted criteria (Judging Criteria) by a qualified panel of judges: Community or campus involvement Academic References Grade Point Average",- None -,"$2,000",4/30/2019
CitizenshipTests.org Engineering and Science Schol,"The CitizenshipTests.org Engineering and Science Scholarship (Scholarship) is open to legal residents of Canada and the 50 United States and the District of Columbia, who, at the time of entry are: Undergraduate college or university students (or the equivalent thereof) who are currently attending a Canadian or U.S. accredited college or university in Engineering or Science at their 3rd or final year of study. Entrants into the scholarship must meet the required criteria. Potential winners must be able to present proof of eligibility and failure to provide proof may result in disqualification. Immediate family members (children, siblings) of employees of CitizneshipTests.org or their respective subsidiaries, affiliates, and advertising and promotional agencies and anyone involved in the development, production, distribution of materials for, judging or coordination of this Scholarship, and persons living in the same household of such employees whether or not related, are not eligible to enter or win. All eligible entries will be judged on the following equally weighted criteria (Judging Criteria) by a qualified panel of judges: Community or campus involvement Academic References Grade Point Average",Engineering,"$1,000",4/30/2019
TSA Security Reform Scholarship,"The attorneys at The Medlin Law Firm are proud to introduce the TSA Security Reform Scholarship. We feel this is a topic that needs to be brought into the spotlight. Whether you believe TSA security is too strict or too lenient, we want to hear your thoughts. One student will be selected to receive this $1,000 scholarship award to help them pursue their educational goals.",- None -,"$1,000",4/30/2019
PDAD Scholarship,PayDayAllDay launches the ongoing PDAD Scholarship as a tribute to our ambition of promoting borrowing responsibility among Americans.,- None -,$500,4/30/2019
The High Rise Financial Scholarship Essay Contest,High Rise Financial is proud to announce its first Scholarship Essay Contest in the amount of $750 to one full-time student who is currently attending a college or university within the United States in 2019.,Other,$750,4/30/2019
Invensis Learning Young Blogger Scholarship Award,"At Invensis Learning, we believe articulating thoughts from students from a diverse background on a particular topic plays a key role in bringing new perspectives, ideas, creativity, and even innovation. When existing boundaries are pushed beyond traditional standards set by educational institutions and enterprises, it gives a new found direction for students to achieve their best and put their minds towards broadening their skill set and realize their true potential.",Education,"$2,000",4/30/2019
2018-19 DREAM ACT SCHOLARSHIP,"Now, more than ever, the individuals who desire to make a measurable difference in the area of immigration reform must be well educated, highly motivated, and have a hands-on understanding of the issues and policies in the U.S. and around the world. Write a statement that considers current immigration conditions and reforms in the United States. Offer at least two concrete ways that these conditions might be improved.",- None -,$500,4/30/2019
First in Family Scholarship,"The partners at Billings, Barrett & Bowman are excited to continue the First in Family Scholarship, designed to support individuals who want to further their education and are the first members of their families to attend college. The First in Family Scholarship will award $1,000 to a student who best describes how being the first in their family to attend college has impacted them.",- None -,"$1,000",4/30/2019
The CellWaves Schoalrship,CellWaves is excited to offer this scholarship to a technologically minded undergraduate student each year. We want to support the education of a deserving student who also shares our passion and curiosity for what wireless communications will become in the future.,- None -,"$1,000",5/1/2019
Veterinary Scholarship From Allpetsexpert,AllPetsExpert is excited to announce a scholarship award program for your college or university education totaling to $2250. The award will go to be the best top three essays on pets.,Other,"$2,250",5/1/2019
Vivint Smart Home Scholarship,"Vivint Smart Home, the leader in home security and home automation, is pleased to promote higher education and give back to the community with five (5) $1,000 scholarships.",Continuing Education,"$1,000",5/1/2019
"2019 Applied Behavior Analysis EDU $1,000 Excellen","Any recently accepted or currently enrolled first or second year grad student in a qualifying master’s program in education, psychology, or ABA that includes the Verified Course Sequence required to be eligible for BCBA certification. All current grad students must provide proof of having a minimum cumulative GPA of 3.5 in their graduate studies. All recently accepted students looking forward to beginning their master’s program must provide proof of being accepted into a qualifying program, and proof of having a minimum cumulative GPA of 3.5 in their undergraduate studies.",Education,"$1,000",5/1/2019
Win-Win-Win Scholarship,"This Win-Win-Win Scholarship is an opportunity for you to share how you will be a force for good in the world around you while competing for $1000 in tuition money. You must be enrolled full-time, hold a 3.0 GPA, and submit a short essay describing how you create win-win-win scenarios. You simply need to write a short essay describing how YOU create win-win-win scenarios in the world around us. Maybe it’s a story of how you engineered a win-win-win in the past or your vision for using your college or university degree to create many “win-win-win”s in the future. You decide. Eligibility: - Full-time, U.S. undergraduate or graduate student actively pursuing a degree. - Must presently hold at least a 3.0 cumulative GPA and provide a copy of your school transcript. - Submit an original 1,000 – 2000 word essay describing how you create win-win-win scenarios in the world.",- None -,"$1,000",5/1/2019
Rover Scholarship,Rover would like to help fund your brain fuel for the coming school year. Just write a 400-500 word essay for your chance to win $2500!,- None -,"$2,500",5/1/2019
The Holistic Sanctuary Scholarship,We are pleased to offer this $3000 scholarship opportunity to all undergraduate and graduate students who are pursuing a degree in health related field.,Health Professions,"$3,000",5/10/2019
Scholarship Program for Graphic & Web Design Excel,"Graphic designers who want to apply for the scholarship program, have to send us “5 variant logo design, 3 PSD Of Website Design” of our website Sprakdesign. If our team finds it impressive enough, we will award the ""$500"" scholarship to those particular designers.","Architecture, Design & Planning","$1,000",5/15/2019
Scholarship Program For Visual Art Excellence,"Designers who want to apply for the scholarship program have to Submit 5 samples of 2 genre/are within the same genre/area of our website Sprakdesign so the reviewers can determine a consistent trend in your skill and potential. If our team finds it impressive enough, we will award the scholarship to those particular designers.","Architecture, Design & Planning","$1,000",5/15/2019
Scholarship Program For Engineering Excellence For,"Sprak Design is an expert graphic design company offering services which can help the companies in establishing their brand identity successfully. Whether it about designing a college brochure or an engineering brochure, we have provided our graphic design services in almost all the sectors. Many students have an aim to study in this field and establish their career as a successful engineer. Due to financial problems, not all students can accomplish education in this field and achieve their dream career. Sprak Design provides financial aid in the form of this scholarship program for engineering excellence for USA and Canada.",Engineering,"$1,000",5/15/2019
